case_number,suspect_name,vehicle_plate,date,year,primary_type,description,block,location_description,district,beat,ward,community_area,iucr,fbi_code,arrest,domestic
JC102486,Maurice Jackson,IL-4114-GS,2026-01-04 08:11:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,1400XX N MILWAUKEE AVE,ALLEY,022,2213,19,72,1811,18,True,False
JC102599,Corey Flores,,2026-01-17 17:43:00,2026,BURGLARY,FORCIBLE ENTRY,5600XX S MICHIGAN AVE,,003,0313,20,42,0610,05,False,False
JC102712,Anthony Hernandez,,2026-05-17 09:42:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5200XX W 63RD ST,RESTAURANT,010,1013,24,29,051A,04A,False,False
JC102825,Devon Sanchez,,2026-03-20 18:19:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0100XX N CICERO AVE,GAS STATION / CONVENIENCE STORE,010,1013,24,29,051A,04A,False,False
JC102938,Reginald Allen,,2026-08-15 21:13:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2200XX N DAMEN AVE,SIDEWALK,025,2515,30,19,1310,14,False,False
JC103051,Aaron Flores,,2026-04-22 09:14:00,2026,BURGLARY,FORCIBLE ENTRY,0400XX W MADISON ST,RESIDENCE,002,0222,4,38,0610,05,False,False
JC103164,Marcus Williams,,2026-04-23 22:24:00,2026,CRIMINAL DAMAGE,TO PROPERTY,3200XX W ROOSEVELT RD,,005,0511,9,49,1310,14,False,False
JC103277,Calvin Scott,,2026-08-02 17:15:00,2026,BATTERY,SIMPLE ASSAULT,1800XX W FULLERTON AVE,,016,1622,45,15,0460,08B,False,False
JC103390,Lamar Thomas,,2026-07-27 17:28:00,2026,ROBBERY,ARMED: HANDGUN,6100XX N DAMEN AVE,GAS STATION / CONVENIENCE STORE,016,1622,45,15,031A,03,False,False
JC103503,Derek Johnson,,2026-05-15 02:45:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3500XX W CHICAGO AVE,PARKING LOT,011,1124,28,26,1811,18,True,False
JC103616,Devon Harris,,2026-04-03 13:26:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,6000XX N CICERO AVE,STREET,015,1531,29,25,0910,07,False,False
JC103729,Damian Wright,,2026-01-28 18:24:00,2026,CRIMINAL DAMAGE,TO PROPERTY,4600XX S ASHLAND AVE,ALLEY,010,1013,24,29,1310,14,False,False
JC103842,Xavier Rodriguez,,2026-04-16 07:17:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0400XX S WESTERN AVE,PARKING LOT,014,1422,1,24,051A,04A,False,False
JC103955,Isaiah Martinez,,2026-01-13 18:36:00,2026,THEFT,OVER $500,8300XX W BELMONT AVE,APARTMENT,015,1531,29,25,0820,06,True,False
JC104068,Derek Jenkins,,2026-06-11 12:17:00,2026,ASSAULT,AGGRAVATED: HANDGUN,1100XX N BROADWAY,STREET,017,1732,35,21,051A,04A,False,False
JC104181,Anthony Walker,IL-7043-EP,2026-01-25 00:15:00,2026,BURGLARY,FORCIBLE ENTRY,8000XX S ASHLAND AVE,RESIDENCE,005,0511,9,49,0610,05,False,False
JC104294,Trevon White,,2026-02-25 05:19:00,2026,BATTERY,SIMPLE ASSAULT,0400XX W 79TH ST,COMMERCIAL BUILDING,010,1013,24,29,0460,08B,False,True
JC104407,Kevin Lee,IL-1207-WV,2026-04-04 22:49:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,7700XX S COMMERCIAL AVE,COMMERCIAL BUILDING,004,0412,10,46,1811,18,True,False
JC104520,Calvin Thomas,,2026-02-14 11:40:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2000XX W 55TH ST,APARTMENT,015,1531,29,25,1310,14,False,False
JC104633,Kareem Wilson,,2026-08-14 23:37:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3200XX W 63RD ST,GAS STATION / CONVENIENCE STORE,003,0313,20,42,1811,18,True,False
JC104746,Tyrone Martin,,2026-06-01 15:54:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,6300XX N CLARK ST,PARKING LOT,007,0724,16,68,0910,07,False,False
JC104859,Lamar Walker,,2026-01-17 06:05:00,2026,BURGLARY,FORCIBLE ENTRY,5300XX N DAMEN AVE,RESTAURANT,017,1732,35,21,0610,05,False,False
JC104972,Aaron Scott,,2026-02-10 07:25:00,2026,BURGLARY,FORCIBLE ENTRY,8500XX S HALSTED ST,PARKING LOT,020,2012,40,4,0610,05,False,False
JC105085,Jamal Jackson,,2026-06-12 22:29:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3300XX S HALSTED ST,SIDEWALK,008,0815,13,65,1811,18,True,False
JC105198,Justin Taylor,,2026-03-07 06:47:00,2026,CRIMINAL DAMAGE,TO PROPERTY,9300XX N BROADWAY,RESTAURANT,020,2012,40,4,1310,14,False,False
JC105311,Reginald Jones,IL-5374-SR,2026-06-06 09:00:00,2026,ROBBERY,ARMED: HANDGUN,0600XX N BROADWAY,RESTAURANT,002,0222,4,38,031A,03,False,False
JC105424,Brandon White,,2026-08-16 14:21:00,2026,ROBBERY,ARMED: HANDGUN,3300XX N MILWAUKEE AVE,SIDEWALK,017,1732,35,21,031A,03,False,False
JC105537,Justin Hill,,2026-03-05 18:19:00,2026,BATTERY,SIMPLE ASSAULT,1600XX W CHICAGO AVE,ALLEY,019,1923,44,6,0460,08B,False,True
JC105650,Kendrick Williams,IL-3573-GO,2026-08-15 09:55:00,2026,ASSAULT,AGGRAVATED: HANDGUN,7300XX S HALSTED ST,STREET,022,2213,19,72,051A,04A,False,True
JC105763,Reginald Ramirez,,2026-03-01 13:28:00,2026,CRIMINAL DAMAGE,TO PROPERTY,0500XX S HALSTED ST,GAS STATION / CONVENIENCE STORE,008,0815,13,65,1310,14,True,False
JC105876,Brandon Jenkins,,2026-04-14 03:34:00,2026,BURGLARY,FORCIBLE ENTRY,2000XX N KEDZIE AVE,APARTMENT,009,0914,15,61,0610,05,False,False
JC105989,Derek Young,,2026-05-15 03:29:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,5200XX W 55TH ST,RESTAURANT,009,0914,15,61,1811,18,True,False
JC106102,Dominic Thomas,,2026-06-20 08:01:00,2026,BATTERY,SIMPLE ASSAULT,8700XX W CHICAGO AVE,COMMERCIAL BUILDING,020,2012,40,4,0460,08B,False,False
JC106215,Maurice Harris,,2026-08-09 05:37:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6300XX N KEDZIE AVE,DEPARTMENT STORE,003,0313,20,42,051A,04A,False,False
JC106328,Isaiah Johnson,,2026-06-14 22:31:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,5200XX S COMMERCIAL AVE,STREET,019,1923,44,6,1811,18,True,False
JC106441,Tyler Hernandez,,2026-07-28 16:52:00,2026,THEFT,OVER $500,7000XX S COMMERCIAL AVE,ALLEY,016,1622,45,15,0820,06,False,False
JC106554,Adrian Brown,,2026-08-25 01:13:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,1700XX N CICERO AVE,DEPARTMENT STORE,010,1013,24,29,1811,18,True,False
JC106667,Malik Garcia,,2026-03-10 17:00:00,2026,ASSAULT,AGGRAVATED: HANDGUN,2900XX W BELMONT AVE,DEPARTMENT STORE,004,0412,10,46,051A,04A,False,False
JC106780,Jamal Hill,,2026-05-14 15:30:00,2026,BURGLARY,FORCIBLE ENTRY,7100XX W FULLERTON AVE,ALLEY,005,0511,9,49,0610,05,False,False
JC106893,Hector Young,,2026-05-25 13:21:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3700XX S ASHLAND AVE,COMMERCIAL BUILDING,010,1013,24,29,1811,18,True,False
JC107006,Trevon Gonzalez,,2026-06-18 17:24:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2500XX W 63RD ST,COMMERCIAL BUILDING,008,0815,13,65,1310,14,False,False
JC107119,Hector Martin,,2026-08-23 12:24:00,2026,ROBBERY,ARMED: HANDGUN,0500XX S WESTERN AVE,RESTAURANT,005,0511,9,49,031A,03,False,False
JC107232,Tyrone Martin,IL-9797-TT,2026-08-01 23:09:00,2026,ASSAULT,AGGRAVATED: HANDGUN,2000XX N KEDZIE AVE,DEPARTMENT STORE,003,0313,20,42,051A,04A,False,False
JC107345,Lamar Taylor,,2026-07-11 20:45:00,2026,CRIMINAL DAMAGE,TO PROPERTY,0500XX N CICERO AVE,SIDEWALK,022,2213,19,72,1310,14,False,False
JC107458,Kevin Jackson,,2026-02-25 20:45:00,2026,BATTERY,SIMPLE ASSAULT,2200XX W FULLERTON AVE,STREET,010,1013,24,29,0460,08B,False,True
JC107571,Trevon Flores,,2026-03-08 16:26:00,2026,ROBBERY,ARMED: HANDGUN,2300XX N CLARK ST,COMMERCIAL BUILDING,003,0313,20,42,031A,03,False,False
JC107684,Reginald Wright,,2026-04-15 20:16:00,2026,CRIMINAL DAMAGE,TO PROPERTY,8600XX N BROADWAY,DEPARTMENT STORE,001,0111,42,32,1310,14,False,False
JC107797,Aaron Williams,,2026-05-21 13:44:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3900XX W FULLERTON AVE,ALLEY,007,0724,16,68,1811,18,True,False
JC107910,Tyler Hill,,2026-05-01 21:25:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,7300XX S ASHLAND AVE,BAR OR TAVERN,025,2515,30,19,1811,18,True,False
JC108023,Anthony Williams,,2026-04-20 11:14:00,2026,BURGLARY,FORCIBLE ENTRY,3300XX S DR MARTIN LUTHER KING JR DR,BAR OR TAVERN,025,2515,30,19,0610,05,False,False
JC108136,Damian Martinez,,2026-08-02 18:23:00,2026,ROBBERY,ARMED: HANDGUN,3800XX W BELMONT AVE,BAR OR TAVERN,011,1124,28,26,031A,03,False,False
JC108249,Corey Brown,,2026-06-17 16:58:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,3300XX N CLARK ST,GAS STATION / CONVENIENCE STORE,017,1732,35,21,1811,18,True,False
JC108362,Marcus Anderson,,2026-04-28 21:46:00,2026,ASSAULT,AGGRAVATED: HANDGUN,4700XX N CICERO AVE,ALLEY,003,0313,20,42,051A,04A,False,False
JC108475,Dominic Flores,,2026-05-19 12:52:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,8700XX S STATE ST,DEPARTMENT STORE,008,0815,13,65,0910,07,False,False
JC108588,Malik Jones,,2026-04-21 02:40:00,2026,CRIMINAL DAMAGE,TO PROPERTY,3900XX W 55TH ST,ALLEY,024,2411,49,1,1310,14,True,True
JC108701,Derek Harris,,2026-02-04 07:56:00,2026,ROBBERY,ARMED: HANDGUN,5900XX W ROOSEVELT RD,,012,1212,25,28,031A,03,False,False
JC108814,Kareem Clark,IL-9920-XQ,2026-02-27 15:39:00,2026,ASSAULT,AGGRAVATED: HANDGUN,0500XX N BROADWAY,RESIDENCE,012,1212,25,28,051A,04A,False,False
JC108927,Justin Miller,,2026-01-13 08:12:00,2026,BATTERY,SIMPLE ASSAULT,1200XX W FULLERTON AVE,RESIDENCE,025,2515,30,19,0460,08B,True,True
JC109040,Marcus Thomas,IL-8527-NZ,2026-04-03 17:13:00,2026,BURGLARY,FORCIBLE ENTRY,4300XX W CHICAGO AVE,COMMERCIAL BUILDING,005,0511,9,49,0610,05,False,False
JC109153,Dominic Martinez,,2026-02-22 00:08:00,2026,THEFT,OVER $500,3100XX S MICHIGAN AVE,PARKING LOT,020,2012,40,4,0820,06,False,False
JC109266,Darius Clark,IL-9543-HQ,2026-02-24 02:30:00,2026,CRIMINAL DAMAGE,TO PROPERTY,4700XX S WABASH AVE,COMMERCIAL BUILDING,018,1831,43,7,1310,14,False,False
JC109379,Kareem Washington,IL-5010-EJ,2026-01-02 15:54:00,2026,ASSAULT,AGGRAVATED: HANDGUN,8800XX N PULASKI RD,DEPARTMENT STORE,004,0412,10,46,051A,04A,False,False
JC109492,Malik Scott,,2026-07-20 16:18:00,2026,CRIMINAL DAMAGE,TO PROPERTY,7800XX W 47TH ST,SIDEWALK,015,1531,29,25,1310,14,False,False
JC109605,Jalen Jackson,,2026-04-14 10:52:00,2026,CRIMINAL DAMAGE,TO PROPERTY,5400XX W ROOSEVELT RD,PARKING LOT,004,0412,10,46,1310,14,False,False
JC109718,Cedric Jones,,2026-08-03 02:53:00,2026,BATTERY,SIMPLE ASSAULT,5600XX W BELMONT AVE,BAR OR TAVERN,004,0412,10,46,0460,08B,False,False
JC109831,Tyler Taylor,IL-3621-UK,2026-06-22 03:26:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,9700XX S COMMERCIAL AVE,BAR OR TAVERN,015,1531,29,25,0910,07,False,False
JC109944,Jerome Sanchez,,2026-04-28 03:22:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,9800XX S STATE ST,COMMERCIAL BUILDING,009,0914,15,61,0910,07,False,False
JC110057,Darnell Martin,IL-2140-DQ,2026-01-20 21:53:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,2400XX S ASHLAND AVE,BAR OR TAVERN,009,0914,15,61,1811,18,True,False
JC110170,Jose Perez,,2026-01-03 23:33:00,2026,BURGLARY,FORCIBLE ENTRY,5400XX W ROOSEVELT RD,PARKING LOT,016,1622,45,15,0610,05,False,False
JC110283,Jalen Young,,2026-02-02 04:10:00,2026,THEFT,OVER $500,1100XX S COMMERCIAL AVE,DEPARTMENT STORE,009,0914,15,61,0820,06,False,False
JC110396,Calvin Moore,,2026-02-12 13:07:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,8700XX S COMMERCIAL AVE,DEPARTMENT STORE,020,2012,40,4,1811,18,True,False
JC110509,Malik Vance,IL-4770-NV,2026-01-07 09:13:00,2026,ROBBERY,ARMED: HANDGUN,3300XX S WABASH AVE,PARKING LOT,010,1013,24,29,031A,03,False,False
JC110622,Dante Torres,,2026-06-03 12:55:00,2026,THEFT,OVER $500,0300XX N PULASKI RD,SIDEWALK,016,1622,45,15,0820,06,False,False
JC110735,Cedric Johnson,IL-2288-KI,2026-05-04 12:01:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,8000XX N CLARK ST,BAR OR TAVERN,016,1622,45,15,0910,07,False,False
JC110848,Calvin Allen,IL-3419-GD,2026-06-08 10:49:00,2026,ROBBERY,ARMED: HANDGUN,6600XX W BELMONT AVE,SIDEWALK,024,2411,49,1,031A,03,False,False
JC110961,Isaiah Torres,,2026-04-06 19:09:00,2026,BATTERY,SIMPLE ASSAULT,9900XX N CLARK ST,DEPARTMENT STORE,024,2411,49,1,0460,08B,False,True
JC111074,Darnell Thomas,IL-1616-BV,2026-06-28 20:20:00,2026,ROBBERY,ARMED: HANDGUN,0900XX W FULLERTON AVE,DEPARTMENT STORE,017,1732,35,21,031A,03,False,False
JC111187,Kevin Clark,IL-9214-DB,2026-02-21 02:39:00,2026,ASSAULT,AGGRAVATED: HANDGUN,7500XX W FULLERTON AVE,BAR OR TAVERN,019,1923,44,6,051A,04A,False,False
JC111300,Lamar Clark,,2026-02-26 10:45:00,2026,BATTERY,SIMPLE ASSAULT,8300XX W 47TH ST,STREET,006,0623,6,69,0460,08B,False,True
JC111413,Tyler Martin,,2026-06-12 09:24:00,2026,ASSAULT,AGGRAVATED: HANDGUN,4400XX S WABASH AVE,COMMERCIAL BUILDING,025,2515,30,19,051A,04A,True,True
JC111526,Carlos Lee,,2026-05-09 23:54:00,2026,ROBBERY,ARMED: HANDGUN,1100XX W 63RD ST,,020,2012,40,4,031A,03,False,False
JC111639,Anthony King,,2026-03-20 22:05:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,4900XX N CICERO AVE,PARKING LOT,024,2411,49,1,1811,18,True,False
JC111752,Jerome Jones,,2026-01-12 09:11:00,2026,BURGLARY,FORCIBLE ENTRY,9900XX W 63RD ST,RESIDENCE,017,1732,35,21,0610,05,False,False
JC111865,Deandre Flores,,2026-01-22 10:56:00,2026,ROBBERY,ARMED: HANDGUN,4900XX S DR MARTIN LUTHER KING JR DR,APARTMENT,005,0511,9,49,031A,03,False,False
JC111978,Kareem Gonzalez,,2026-07-12 21:46:00,2026,BURGLARY,FORCIBLE ENTRY,7900XX W FULLERTON AVE,BAR OR TAVERN,010,1013,24,29,0610,05,False,False
JC112091,Brian King,,2026-08-27 06:23:00,2026,CRIMINAL DAMAGE,TO PROPERTY,9900XX W FULLERTON AVE,ALLEY,010,1013,24,29,1310,14,False,False
JC112204,Calvin Brown,,2026-03-28 08:03:00,2026,CRIMINAL DAMAGE,TO PROPERTY,7100XX S MICHIGAN AVE,BAR OR TAVERN,004,0412,10,46,1310,14,False,False
JC112317,Tyler White,,2026-03-27 13:05:00,2026,BURGLARY,FORCIBLE ENTRY,4500XX W FULLERTON AVE,ALLEY,001,0111,42,32,0610,05,False,False
JC112430,Anthony Ortiz,,2026-06-08 00:20:00,2026,BATTERY,SIMPLE ASSAULT,8400XX W 55TH ST,APARTMENT,011,1124,28,26,0460,08B,True,False
JC112543,Tyrone Lopez,,2026-03-25 22:30:00,2026,CRIMINAL DAMAGE,TO PROPERTY,0100XX S DR MARTIN LUTHER KING JR DR,STREET,003,0313,20,42,1310,14,False,False
JC112656,Kendrick Ramirez,,2026-07-04 09:15:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,0700XX S STATE ST,ALLEY,008,0815,13,65,1811,18,True,False
JC112769,Marcus Flores,IL-9576-ZB,2026-01-21 16:36:00,2026,BURGLARY,FORCIBLE ENTRY,1900XX W 55TH ST,ALLEY,010,1013,24,29,0610,05,False,False
JC112882,Brandon Lee,IL-6447-DJ,2026-01-13 15:02:00,2026,ASSAULT,AGGRAVATED: HANDGUN,3300XX S MICHIGAN AVE,PARKING LOT,001,0111,42,32,051A,04A,True,False
JC112995,Anthony Washington,IL-7201-CH,2026-06-27 20:11:00,2026,CRIMINAL DAMAGE,TO PROPERTY,6200XX W 55TH ST,APARTMENT,024,2411,49,1,1310,14,False,False
JC113108,Jamal Taylor,,2026-01-11 09:32:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6100XX N CICERO AVE,STREET,009,0914,15,61,051A,04A,False,False
JC113221,Corey Martinez,,2026-06-09 03:51:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,5200XX N PULASKI RD,ALLEY,016,1622,45,15,0910,07,False,False
JC113334,Derek Taylor,,2026-05-26 02:46:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5600XX W BELMONT AVE,APARTMENT,022,2213,19,72,051A,04A,False,True
JC113447,Kareem Ortiz,,2026-05-15 19:45:00,2026,ASSAULT,AGGRAVATED: HANDGUN,8900XX N CLARK ST,PARKING LOT,016,1622,45,15,051A,04A,False,False
JC113560,Cedric Allen,,2026-07-09 20:50:00,2026,THEFT,OVER $500,8600XX W BELMONT AVE,ALLEY,024,2411,49,1,0820,06,False,False
JC113673,Cedric Perez,,2026-03-28 19:43:00,2026,CRIMINAL DAMAGE,TO PROPERTY,1700XX N MILWAUKEE AVE,RESIDENCE,003,0313,20,42,1310,14,False,False
JC113786,Xavier Jackson,,2026-08-12 11:28:00,2026,BATTERY,SIMPLE ASSAULT,1800XX W 79TH ST,PARKING LOT,018,1831,43,7,0460,08B,False,True
JC113899,Kendrick Taylor,,2026-03-16 16:24:00,2026,BATTERY,SIMPLE ASSAULT,3400XX N BROADWAY,RESIDENCE,016,1622,45,15,0460,08B,False,False
JC114012,Dante Lee,IL-6635-PU,2026-03-28 02:28:00,2026,ROBBERY,ARMED: HANDGUN,5700XX W 55TH ST,,003,0313,20,42,031A,03,False,False
JC114125,Adrian Miller,,2026-03-26 11:32:00,2026,BURGLARY,FORCIBLE ENTRY,2600XX S STATE ST,RESIDENCE,005,0511,9,49,0610,05,False,False
JC114238,Damian Harris,,2026-03-20 02:04:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,9200XX W ROOSEVELT RD,RESTAURANT,017,1732,35,21,1811,18,True,False
JC114351,Deandre Jones,IL-2674-CC,2026-02-15 14:43:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,7100XX W MADISON ST,COMMERCIAL BUILDING,024,2411,49,1,0910,07,False,False
JC114464,Tyrone Hernandez,IL-9797-TT,2026-05-06 05:20:00,2026,BURGLARY,FORCIBLE ENTRY,6700XX S MICHIGAN AVE,SIDEWALK,010,1013,24,29,0610,05,False,False
JC114577,Justin Martin,,2026-02-17 20:10:00,2026,ROBBERY,ARMED: HANDGUN,8500XX N CLARK ST,BAR OR TAVERN,022,2213,19,72,031A,03,False,False
JC114690,Kendrick Miller,,2026-01-03 01:41:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,2700XX N KEDZIE AVE,ALLEY,020,2012,40,4,1811,18,True,False
JC114803,Tyler Rodriguez,IL-6121-WI,2026-05-16 07:51:00,2026,ASSAULT,AGGRAVATED: HANDGUN,5900XX S HALSTED ST,BAR OR TAVERN,003,0313,20,42,051A,04A,False,False
JC114916,Lamar Ramirez,IL-6155-FM,2026-06-13 04:48:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,7200XX W 47TH ST,PARKING LOT,004,0412,10,46,0910,07,False,False
JC115029,Jose Young,,2026-07-08 05:52:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,9300XX W 79TH ST,RESIDENCE,011,1124,28,26,0910,07,False,False
JC115142,Tyler Jenkins,,2026-08-01 02:25:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2800XX W CHICAGO AVE,PARKING LOT,020,2012,40,4,1310,14,False,False
JC115255,Cedric White,,2026-08-10 17:00:00,2026,BATTERY,SIMPLE ASSAULT,1800XX N PULASKI RD,BAR OR TAVERN,009,0914,15,61,0460,08B,False,True
JC115368,Terrence Flores,,2026-04-12 17:18:00,2026,BATTERY,SIMPLE ASSAULT,6500XX W ROOSEVELT RD,RESTAURANT,016,1622,45,15,0460,08B,False,True
JC115481,Brian White,IL-3621-UK,2026-07-12 10:35:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,1900XX S WABASH AVE,COMMERCIAL BUILDING,007,0724,16,68,0910,07,False,False
JC115594,Xavier Flores,IL-9721-MO,2026-08-05 19:57:00,2026,ROBBERY,ARMED: HANDGUN,7900XX W 63RD ST,APARTMENT,011,1124,28,26,031A,03,False,False
JC115707,Darnell Miller,,2026-08-27 00:23:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,1500XX S COMMERCIAL AVE,COMMERCIAL BUILDING,015,1531,29,25,0910,07,False,False
JC115820,Kendrick Thompson,IL-2800-EL,2026-04-24 01:37:00,2026,CRIMINAL DAMAGE,TO PROPERTY,6800XX N CLARK ST,BAR OR TAVERN,024,2411,49,1,1310,14,False,False
JC115933,Tyler Jones,,2026-07-05 13:44:00,2026,BURGLARY,FORCIBLE ENTRY,6500XX N PULASKI RD,DEPARTMENT STORE,022,2213,19,72,0610,05,False,False
JC116046,Maurice Anderson,IL-4684-YZ,2026-08-17 12:20:00,2026,ROBBERY,ARMED: HANDGUN,6900XX W FULLERTON AVE,RESTAURANT,011,1124,28,26,031A,03,False,False
JC116159,Terrence Taylor,,2026-05-23 06:44:00,2026,CRIMINAL DAMAGE,TO PROPERTY,6200XX W 63RD ST,RESTAURANT,012,1212,25,28,1310,14,False,False
JC116272,Andre Lee,,2026-07-27 11:49:00,2026,ROBBERY,ARMED: HANDGUN,0600XX S HALSTED ST,BAR OR TAVERN,010,1013,24,29,031A,03,False,False
JC116385,Hector Wilson,,2026-04-07 17:17:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,1400XX W MADISON ST,BAR OR TAVERN,022,2213,19,72,1811,18,True,False
JC116498,Anthony Vance,IL-8793-MF,2026-04-02 03:26:00,2026,MOTOR VEHICLE THEFT,AUTOMOBILE,6100XX W 55TH ST,,004,0412,10,46,0910,07,False,False
